sim_cycles,mixed_or_same,mem_or_coh,config,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
1b,mixed,mem,ns_l_bwop,0_13,10128.806252,4671493.0,4671519.0
1b,mixed,mem,ns_l_bwop,0_14,10436.305254,5031859.0,5031914.0
1b,mixed,mem,ns_l_bwop,0_15,10783.708956,5392264.0,5392329.0
1b,mixed,mem,ns_l_bwop,0_16,11185.336753,5751414.0,5751473.0
1b,mixed,mem,ns_l_bwop,0_17,11665.718216,6110991.0,6111058.0
1b,mixed,mem,ns_l_bwop,0_18,12234.045635,6469614.0,6469692.0
1b,mixed,mem,ns_l_bwop,0_19,12943.290518,6828301.0,6828361.0
1b,mixed,mem,ns_l_bwop,0_2,13852.184964,7187610.0,7187721.0
1b,mixed,mem,ns_l_bwop,0_21,15116.427892,7548080.0,7548197.0
1b,mixed,mem,ns_l_bwop,0_22,17034.876272,7906916.0,7907032.0
1b,mixed,mem,ns_l_bwop,0_23,20777.848028,8265791.0,8265920.0
1b,mixed,mem,ns_l_bwop,0_24,48375.728713,8625001.0,8625175.0
1b,mixed,mem,ns_l_bwop,0_25,6069497.192995,8872082.0,8872292.0
1b,mixed,mem,ns_l_bwop,0_26,14087510.628273,9052116.0,9052366.0
